familyId,familyName,productCount,productNames,posCodes,currentProposedCategory,ambiguity,recommendedCategory,confidence,classificationReasons,ownerDecision
scissors,"Gunting (scissors, not nail clippers)",14,"Gunting Estika M-155 | Gunting Estika L-165 | Gunting Estika XL-085 | Gunting E-Light L | Gunting E-Light C205 | Gunting Hongda S 904 | Gunting E-Light S | Gunting E-Light M | Gunting E-Light XL GW-9 | Gunting Hongda M 906 | Gunting Hongda L 908 | Gunting Hongda XL 928 | Gunting Vitro XL-085 | Gunting M2000 Layar 8""",ATM030 | ATM031x | ATM033 | ATM051 | ATM056 | ATM077 | ATM117 | ATM134 | ATM144 | ATM152 | ATM164 | ATM190 | CM698 | SMD680-05,Alat & Perlengkapan,Household / tailor / nail overlap,Alat & Perlengkapan,HIGH,Scissors: household/tailor/nail overlap,
nail-clippers,Gunting kuku (nail clippers),5,Gunting Kuku Vitro 602 | Gunting Kuku 777 Silver Kecil | Gunting Kuku 777 Silver Besar | Gunting Kuku Baicang 602 | Gunting Kuku 608,CM090 | CM222 | CM275 | CM736 | CM785,Perawatan Diri,Personal grooming vs household tools,Perawatan Diri,HIGH,Nail clippers are personal grooming; nearby overlap with household tools,
cotton,Kapas (cotton),5,Kapas Plastik Sofia 10G | Kapas Wellness 35G | Kapas Wellness 50G | Kapas Wellness 75G | Kapas Mawar 45G,CM166 | CN01 | CN02 | CN03 | CN28,Perawatan Diri,Personal-care consumable vs first-aid / Kesehatan,Perawatan Diri,HIGH,Cotton / personal-care consumable,
candles,Lilin (candles),5,Lilin Kecil Warna Long Life | Lilin Aladin Susu | Lilin Pentung Cap Padi 5 x 30CM | Lilin Kecil Warna BIOLA (30) | Lilin Spiral Set 24 Mini,1033 | 1107 | EB05 | LLNBIO | LLNUK24,Alat & Perlengkapan,Household candle vs party candle (Mainan & Pesta),Alat & Perlengkapan,MEDIUM,Household candle vs party candle overlap,
herbal-drinks,Minuman herbal (Adem Sari / Larutan),4,Adem Sari Hanger (24) | Larutan Cap Kaki Tiga 200ML | Larutan Cap BADAK 500ML | Larutan Cap BADAK 200ML,50061 | CKTBTL | LCKB5 | LCKT2,Minuman,Minuman vs Kesehatan,Minuman,MEDIUM,Herbal drink; nearby Kesehatan overlap,
top-lady,Top Lady,2,Top Lady Coklat | Top Lady Hitam,COS065 | COS221,Perawatan Diri,Skin/face cosmetic vs hair colour,Perawatan Diri,MEDIUM,Top Lady COS-coded cosmetic; confirm vs hair colour,
wings-gelas,Wings Gelas,2,Wings Gelas Biru Kecil | Wings Gelas Biru Besar,18000465 | 18000466,Bahan Makanan,Cooking oil vs other grocery; confirm this is minyak goreng,Bahan Makanan,MEDIUM,Wings food family; confirm oil vs other grocery,
menara-mld-16,Menara MLD 16,1,Menara MLD 16,MLDM16,Rokok,Mild cigarette vs Plastik Menara packaging,Rokok,MEDIUM,MLD 16 token typical of mild cigarettes; confirm not Plastik Menara packaging,
nestle-cap-nona,Nestle Cap Nona,1,Nestle Cap Nona Plain 370G,12309579,Minuman,Condensed milk / creamer vs other Nestle grocery,Minuman,MEDIUM,Nestle Cap Nona 370G matches condensed-milk pack size,
toothpicks,Tusuk gigi,1,Homa Tusuk Gigi Isi 24,CM108,Alat & Perlengkapan,Household vs food-service,Alat & Perlengkapan,HIGH,Toothpicks: household vs food-service overlap,
