family,posCode,posName,sellingUnits,qtyPerPaket,nearbySimilarWorkbook,contextualClues,proposedCategory,webResearchSuggested,ownerDecision
Speed,1087,Speed,BAL | KTN | PAK,1.000 | 12.000 | 48.000,,Identity not safe from POS name alone; do not guess into an approved category | units=BAL/KTN/PAK,UNKNOWN,yes,
Rackus,CM063,Rackus,DOS | KTN | PAK,1.000 | 10.000 | 100.000,,Identity not safe from POS name alone; do not guess into an approved category | units=DOS/KTN/PAK,UNKNOWN,yes,
Kertas Kaf,CM267,Kertas Kaf,IKT | LBR | RIM,1.000 | 10.000 | 500.000,KBPB-02 Kertas Biapong [10LBR | KG | LBR | RIM] || BFLBRU Kertas Buffalo Biru [BAL | IKT | PAK] || BFLKNG Kertas Buffalo Kuning [BAL | IKT | PAK] || KFP-05 Kertas Fuya Putih [IKT | LBR | PAK | RIM] || CM652 Kertas Kado Fancy [LBR | LSN | PAK],Identity not safe from POS name alone; do not guess into an approved category | units=IKT/LBR/RIM,UNKNOWN,yes,
Gomala / Gomala Youvella,GML10,Gomala Youvella No.10,PCS,1.000,GML8 Gomala Youvella No.8 [PCS] || GML5 Gomala No.5 [PCS] || GML6 Gomala No.6 [PCS] || GML7 Gomala No.7 [PCS] || GML9 Gomala No.9 [PCS],Identity not safe from POS name alone; do not guess into an approved category | units=PCS,UNKNOWN,yes,
Gomala / Gomala Youvella,GML5,Gomala No.5,PCS,1.000,GML6 Gomala No.6 [PCS] || GML7 Gomala No.7 [PCS] || GML9 Gomala No.9 [PCS] || GML10 Gomala Youvella No.10 [PCS] || GML8 Gomala Youvella No.8 [PCS],Identity not safe from POS name alone; do not guess into an approved category | units=PCS,UNKNOWN,yes,
Gomala / Gomala Youvella,GML6,Gomala No.6,PCS,1.000,GML5 Gomala No.5 [PCS] || GML7 Gomala No.7 [PCS] || GML9 Gomala No.9 [PCS] || GML10 Gomala Youvella No.10 [PCS] || GML8 Gomala Youvella No.8 [PCS],Identity not safe from POS name alone; do not guess into an approved category | units=PCS,UNKNOWN,yes,
Gomala / Gomala Youvella,GML7,Gomala No.7,PCS,1.000,GML5 Gomala No.5 [PCS] || GML6 Gomala No.6 [PCS] || GML9 Gomala No.9 [PCS] || GML10 Gomala Youvella No.10 [PCS] || GML8 Gomala Youvella No.8 [PCS],Identity not safe from POS name alone; do not guess into an approved category | units=PCS,UNKNOWN,yes,
Gomala / Gomala Youvella,GML8,Gomala Youvella No.8,PCS,1.000,GML10 Gomala Youvella No.10 [PCS] || GML5 Gomala No.5 [PCS] || GML6 Gomala No.6 [PCS] || GML7 Gomala No.7 [PCS] || GML9 Gomala No.9 [PCS],Identity not safe from POS name alone; do not guess into an approved category | units=PCS,UNKNOWN,yes,
Gomala / Gomala Youvella,GML9,Gomala No.9,PCS,1.000,GML5 Gomala No.5 [PCS] || GML6 Gomala No.6 [PCS] || GML7 Gomala No.7 [PCS] || GML10 Gomala Youvella No.10 [PCS] || GML8 Gomala Youvella No.8 [PCS],Identity not safe from POS name alone; do not guess into an approved category | units=PCS,UNKNOWN,yes,
Kucing Batang Merah,KB,Kucing Batang Merah 72,1/2LSN | KTN | LSN | PCS,1.000 | 12.000 | 6.000 | 72.000,KB60 Kucing Batang Merah 60 [KTN | PCS] || KGBK Kucing Angora Gelas [1/2LSN | KTN | LSN | PCS] || AVR20 Avolution Merah 20 [½ SLOF | BKS | SLOF] || CM907 Balon Metalik Merah (50) [PAK] || CM828 Balon Metalik Merah Putih [LYR],Identity not safe from POS name alone; do not guess into an approved category | units=1/2LSN/KTN/LSN/PCS,UNKNOWN,yes,
Kucing Batang Merah,KB60,Kucing Batang Merah 60,KTN | PCS,1.000 | 60.000,KB Kucing Batang Merah 72 [1/2LSN | KTN | LSN | PCS] || KGBK Kucing Angora Gelas [1/2LSN | KTN | LSN | PCS] || AVR20 Avolution Merah 20 [½ SLOF | BKS | SLOF] || CM907 Balon Metalik Merah (50) [PAK] || CM828 Balon Metalik Merah Putih [LYR],Identity not safe from POS name alone; do not guess into an approved category | units=KTN/PCS,UNKNOWN,yes,
