currentProductId,customerName,currentPosCode,currentPosName,category,image,aliasCount,aliases,recommendationIncoming,recommendationOutgoing,homepageFeatured,favorite,closestWorkbookProducts,likely,notes,ownerDecision
prod-dss-magnum-mild-16,Dss Magnum Mild 16,DMM16,DSS Magnum Mild 16,Rokok,no,1,maknum,0,0,no,no,,POSSIBLE DISCONTINUED,No similar workbook POS name. Magnum Filter 12 remains in the live catalogue and workbook. Do not remove.,
prod-dss-magnum-mild-20,Dss Magnum Mild 20,DMM20,DSS Magnum Mild 20,Rokok,no,1,maknum,0,0,no,no,,POSSIBLE DISCONTINUED,No similar workbook POS name. Magnum Filter 12 remains in the live catalogue and workbook. Do not remove.,
prod-sergio-filter,Sergio Filter,SERGIO20,Sergio Filter,Rokok,no,0,,1,3,no,no,SF20 Sergio Filter 20 | SK20 Sergio Kretek 20,POSSIBLE RECODE,Workbook has Sergio Filter 20 (SF20) and Sergio Kretek 20 (SK20). Names are not a strong match to 'Sergio Filter' because of the 20 suffix / kretek type. Owner must choose.,
prod-zenix-coffee,Zenix Coffee,ZNXCFE,Zenix Coffee,Rokok,no,5,senix | seynix | zeniks | senix kopi | seynix kopi,0,0,no,no,ZC20 Zenix Coffee 20 | ZB20 Zenix Bold 20 | ZP20 Zenix Putih 20 | ZW20 Zenix Semangka 20 | ZS20 Zenix Sultan 20,POSSIBLE RECODE,"Workbook has Zenix Coffee 20 (ZC20). Same pattern as the five name-only recodes, but 'Coffee' vs 'Coffee 20' is not a strong automated match. Do not merge with Bold/Putih/Sultan.",
prod-zenix-sultan,Zenix Sultan,ZENIX,Zenix Sultan,Rokok,no,5,senix | seynix | zeniks | senix kuning | seynix kuning,4,5,no,no,ZS20 Zenix Sultan 20 | ZB20 Zenix Bold 20 | ZC20 Zenix Coffee 20 | ZP20 Zenix Putih 20 | ZW20 Zenix Semangka 20,POSSIBLE RECODE,Workbook has Zenix Sultan 20 (ZS20). Same caution as Zenix Coffee. Do not merge with other Zenix types.,
prod-aqua-15l,Aqua 1.5 L,(none),,Minuman,no,2,aqua | agua,0,0,no,yes,AQABTL1500 Aqua Botol 1500ML | AQABTL330 Aqua Botol 330ML | AQABTL600 Aqua Botol 600ML | AQAGLS Aqua Gelas 220ML,POSSIBLE REPLACEMENT,"Workbook has Aqua Botol 1500ML plus 330ML, 600ML, and Aqua Gelas 220ML. Current row has no POS code. Do not auto-attach the generic 1.5 L product onto one pack size.",
prod-masako-ayam,Masako Ayam,(none),,Bahan Makanan,no,1,masako,0,0,no,yes,GKGMA Masako Ayam 1 KG | 100MA Masako Ayam 100G | 250MA Masako Ayam 250G | MAC40F Masako Ayam 40G (2000) | MAC50F Masako Ayam 7.5G | 100MS Masako Sapi 100G,POSSIBLE REPLACEMENT,Workbook has several pack sizes (7.5G / 40G / 100G / 250G / 1KG). Current grocery row has no POS code. Do not collapse sizes.,
prod-masako-sapi,Masako Sapi,(none),,Bahan Makanan,no,0,,0,0,no,yes,100MS Masako Sapi 100G | 250MS Masako Sapi 250G | MSC50F Masako Sapi 7.5G | GKGMA Masako Ayam 1 KG | 100MA Masako Ayam 100G | 250MA Masako Ayam 250G,POSSIBLE REPLACEMENT,Workbook has several pack sizes (7.5G / 40G / 100G / 250G / 1KG). Current grocery row has no POS code. Do not collapse sizes.,
prod-energen-vanilla,Energen Vanilla,(none),,Minuman,no,0,,0,0,no,yes,315692 Energen Vanilla 32G | 410583 Energen Vanilla Topping Beng Beng Balls 47 gr | 318023 Energen Coklat 32G | 318027 Energen Jahe 32G | 315694 Energen Kacang Hijau 30G,POSSIBLE REPLACEMENT,"Workbook has Energen Vanilla 32G and a topping variant, plus other flavours. Current row has no POS code.",
prod-teh-botol-sosro,Teh Botol Sosro,(none),,Minuman,no,1,teh botol,0,0,no,yes,,POSSIBLE DISCONTINUED,No similar workbook POS name. Current grocery row has no POS code. Do not remove; do not invent a match.,
prod-indomie-goreng,Indomie Goreng,(none),,Bahan Makanan,no,1,mie goreng,0,0,no,no,199660 Indomie Goreng Ayam Geprek | 101138 Indomie Goreng Special (40) | 102714 Indomie Mie Cakalang Kuah | 102713 Indomie Mie Goreng Cakalang,POSSIBLE REPLACEMENT,"Workbook has flavoured Indomie Goreng rows (Ayam Geprek, Special, Cakalang) but not a generic 'Indomie Goreng' SKU. Do not auto-pick one flavour.",
