productId,customerFacingName,currentMappingPosName,workbookPosName,mappingRowsUpdated,otherMappingFields,customerFacingNameWouldStayUnchanged,ownerDecision
prod-52-kretek-20,52 Kretek 20,52 Kretek 20,52 (Lima Dua) Kretek 20,3,none,yes,
prod-camel-blue16,Camel Blue 16,Camel Blue16,Camel Biru 16,3,none,yes,
prod-camel-purple-12,Camel Purple 12,Camel Purple 12,Camel Ungu 12,3,none,yes,
prod-camel-purple-16,Camel Purple 16,Camel Purple 16,Camel Ungu 16,3,none,yes,
prod-camel-white-panjang-20,Camel White Panjang 20,Camel White Panjang 20,Camel Putih Panjang 20,3,none,yes,
prod-camel-white-pendek-20,Camel White Pendek 20,Camel White Pendek 20,Camel Putih Pendek 20,3,none,yes,
prod-camel-yellow-12,Camel Yellow 12,Camel Yellow 12,Camel Kuning 12,3,none,yes,
prod-camel-yellow-panjang-20,Camel Yellow Panjang 20,Camel Yellow Panjang 20,Camel Kuning Panjang 20,3,none,yes,
prod-camel-yellow-pendek-20,Camel Yellow Pendek 20,Camel Yellow Pendek 20,Camel Kuning Pendek 20,3,none,yes,
prod-d76-apel,D76 Apel,D76 Apel,Djarum 76 Apel,3,none,yes,
prod-d76-mangga-12,D76 Mangga 12,D76 Mangga 12,Djarum 76 Mangga 12,3,none,yes,
prod-dji-sam-soe-premium-snap-box-16btg-8,Dji Sam Soe Premium Snap Box 16btg (8),Dji Sam Soe Premium Snap Box 16btg (8),Dji Sam Soe Premium Snap Box 16,3,none,yes,
prod-magnum-kretek-12,Magnum Kretek 12,Magnum Kretek 12,DSS Magnum Kretek 12,3,none,yes,
