posUnitToken,tokenKey,chosenDefaultSeen,affectedProductCount,representativeNames,otherUnitRows,existingCatalogueMapping,likelyMeaning,confidence,mappingSafety,ownerClass,flags,notes,ownerDecision
GTG,GTG,Gtg,16,Rejoice Shampoo Hijab 10ML | Pantene Shampoo Anti Lepek 9ML | Sunsilk BIRU | Lifebuoy Shampoo MERAH 9ML | Dove Super Shampoo 9ML | Anlene Gold Vanilla 20G | Antaka Barbekiu 100G (10) | Antaka Sambal Balado 100G (10),,none,Gantung (hanging sachet / gantungan display) — strongly supported by sachet shampoo and seasoning names sold as GTG,HIGH,safe-automatic-mapping,safe-automatic-mapping,fallback-first-active | unrecognized-unit-name,"Almost all warning rows are hanging sachets (shampoo, milk powder, seasoning). One is Gosok Panci Yong Ma (also a hanging display item). Customer label would be Gantung.",
KPL,KPL,Kpl,14,Senar No.100 | Senar No.150 | Senar No.200 | Senar No.25 | Senar No.250 | Senar No.30 | Senar No.300 | Senar No.40,,none,,LOW,leave-unresolved,leave-unresolved,fallback-first-active | unrecognized-unit-name,All 14 warning rows are Senar (fishing line) numbered SKUs. Do not guess the expansion (keping / kapal / other). Owner must say what Kpl means in this shop.,
KG,KG,Kg,13,Simas | Kacang Tanah Besar | Blue Band Curah | Tepung Tapioka Arerut Rose Brand | Meses Coklat | Polybag 17.5x35 | Polybag 15x30 | Polybag 18x30,1/2KG | KRG,KG → Kg (catalogWorkbook map),Kilogram (already mapped in importer),HIGH,already-mapped,leave-unresolved-as-mapping; default-preference-only,fallback-first-active,"POS KG already maps to customer unit Kg. The warning is a default-unit preference gap (Kg is not in the wholesale preference list), not a missing token map.",
GLN,GLN,Gln,9,Minyak AMR | Mentega Butter | Mentega Vitas Bos 18KG | Minyak Goreng Sedap Jerigen 20L | Butter Gold Bullion BOS 18Kg EMBER | Sambal Nasional Jerigen 5.7KG (PIRING) | Saos Tomat Nasional Jerigen 5.7KG | Kecap Sedap Jerigen 6KG,1/2KG | KG | ONS,none,Galon — strongly supported by jerigen/oil/sauce/butter bulk rows,HIGH,safe-automatic-mapping,safe-automatic-mapping,fallback-first-active | unrecognized-unit-name,9/9 names are bulk liquid/fat goods typically sold by galon.,
LBR,LBR,Lbr,8,Garda Amplop Coklat 240 x 350MM | Terpal A3 2 x 3 | Terpal A3 3 x 4 | Terpal Sakura 3 x 4 | Terpal A3 4 x 6 | Terpal Sakura 4 x 6 | Terpal A3 5 x 7 | Terpal A3 6 x 8,,none,Lembar (sheet) — envelopes and tarpaulins sold by sheet,HIGH,safe-automatic-mapping,safe-automatic-mapping,fallback-first-active | unrecognized-unit-name,7/8 names are terpal; 1 is amplop. Both are sold by lembar in wholesale POS. Customer label would be Lembar.,
BLK,BLK,Balok,4,Mentega Anchor Kaleng 1Kg | Wijsman Butter 1Kg | Wijsman Butter 2270G | Wijsman 454G,,BLK → Balok (catalogWorkbook map),Balok (butter block). POS BLK already maps to Balok,HIGH,already-mapped,leave-unresolved-as-mapping; default-preference-only,fallback-first-active,"Workbook token BLK already maps to customer unit Balok. The 4 warning rows are butter (Anchor / Wijsman). The warning is a default-preference gap, not a missing token map. Brief token 'Balok' is this group.",
KRG,KRG,Krg,4,Tepung Roti Mix 10kg | Tepung Roti Maissy MIX 10Kg | Tepung Roti Primera Mix 10kg | Terpal Gajah Truk A2 2 x 3,LBR,none,"Karung (sack) is likely, but the group is mixed",MEDIUM,owner-confirmation-needed,owner-confirmation-needed,fallback-first-active | unrecognized-unit-name,3/4 names are Tepung Roti 10kg (sack-like). 1 is Terpal Gajah Truk which also has LBR. Do not auto-map a mixed set.,
LYR,LYR,Lyr,4,"Balon Metalik | Balon HB 2 Sisi Elastik 12"" | Balon Metalik Polos NCL 12"" | Balon Metalik Merah Putih",,none,,LOW,leave-unresolved,leave-unresolved,fallback-first-active | unrecognized-unit-name,"Abbreviation is not safe from POS token alone. Names: Balon Metalik; Balon HB 2 Sisi Elastik 12""; Balon Metalik Polos NCL 12""; Balon Metalik Merah Putih. Do not guess.",
IKT,IKT,Ikt,3,Tas Warna Petromax | Laksa Hong Kong 1 Ons | Tas Jumbo Pelangi KHARISMA (20) 40x65x0.25,KRG,none,Ikat (bundle) — only if product names are bundled goods,MEDIUM,owner-confirmation-needed,owner-confirmation-needed,fallback-first-active | unrecognized-unit-name,Do not auto-map from abbreviation alone. Names: Tas Warna Petromax; Laksa Hong Kong 1 Ons; Tas Jumbo Pelangi KHARISMA (20) 40x65x0.25,
TPL,TPL,Tpl,3,Serutan Mini Toples | Fruit Roll Gummy Rasa Jeruk (50) | Rautan Pensil Combo (24pcs),,none,,LOW,leave-unresolved,leave-unresolved,fallback-first-active | unrecognized-unit-name,Abbreviation is not safe from POS token alone. Names: Serutan Mini Toples; Fruit Roll Gummy Rasa Jeruk (50); Rautan Pensil Combo (24pcs). Do not guess.,
5KG,5KG,5KG,1,Tepung Terigu,KG,none,5 kilogram pack (parallel to existing 5 Bungkus rule),HIGH,safe-automatic-mapping,safe-automatic-mapping,fallback-first-active | unrecognized-unit-name,"Token is a sized weight, not an abbreviation. Customer label 5 Kg is deterministic if owner accepts sized-weight units.",
GRAM,GRAM,Gram,1,Tepung Roti Curah,1/2KG | KG,GRAM → Gram (catalogWorkbook map),Gram (already mapped in importer),HIGH,already-mapped,leave-unresolved-as-mapping; default-preference-only,fallback-first-active,"POS GRAM already maps to customer unit Gram. Warning is fallback default, not a missing map.",
